noise_scale,variant,controller,candidate_group_id,raw_candidate_id,shield_candidate_id,shield_mode,raw_true_joint_safe,shield_true_joint_safe,raw_true_management_utility,shield_true_management_utility,raw_true_V_embb,shield_true_V_embb,raw_true_V_urllc,shield_true_V_urllc,raw_embb_slice_prb,raw_urllc_slice_prb,shield_embb_slice_prb,shield_urllc_slice_prb
0.0,Full-CertiTwin,PF,3938,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3939,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3940,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3941,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3942,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3943,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3944,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3945,2,2,pass,1,1,0.65129316,0.65129316,0.21678324,0.21678324,0.023225917,0.023225917,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3946,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3947,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3948,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3949,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3950,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3951,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3952,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3953,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3954,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3955,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3956,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3957,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
0.0,Full-CertiTwin,PF,3958,2,2,pass,1,1,0.6677499,0.6677499,0.20378518,0.20378518,0.02274346,0.02274346,21.0,29.0,21.0,29.0
